SL,Ticket No,Client Name,SCR ID,To Address,From Site ID:,To Site ID:,Capacity,Fault Type,Fault Raised By,System Fault Date & Time,Notification Date & Time,Root Cause(L-1),Root Cause(L-2),Root Cause(L-3),RestorationSystem Date,Restoration Date,TTOpenBy,TTClosedBy,Outage due to,Restoration Confirm by
99,20170503125551,1 Asia Alliance Communication Limited,13809,"105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College","-Alliance Building,63,Pragati Sharani.(Connected)","-105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College",,Down-Link-Link,Shawon Alam,2017-05-03 01:50:32,2017-05-03 01:53:40,,Client End Problem,Client End Problem (Others),2017-05-03 09:35:08,2017-05-03 09:28:34,Shad.uddin,Chhanda,Client End Problem,Samiur Rahman
100,20170502125301,1 Asia Alliance Communication Limited,13809,"105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College","-Alliance Building,63,Pragati Sharani.(Connected)","-105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College",,Down-Link-Link,0 1977 881150,2017-05-02 12:00:21,2017-05-02 11:42:09,,Client End Problem,Client End Problem (Others),2017-05-02 22:13:45,2017-05-02 22:00:13,Chhanda,Sanjoy.kundu,Client End Problem,
101,20170420122640,1 Asia Alliance Communication Limited,13809,"105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College","-Alliance Building,63,Pragati Sharani.(Connected)","-105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College",,Down-Link-Link,Sumaiya Mousumi,2017-04-20 15:14:38,2017-04-20 15:15:34,,Client End Problem,Client End Problem (Others),2017-04-20 22:45:41,2017-04-20 17:08:44,Arman.habib,Israr,Client End Problem,MSSD
102,20170415121255,1 Asia Alliance Communication Limited,13809,"105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College","-Alliance Building,63,Pragati Sharani.(Connected)","-105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College",,Down-Link-Link,Samiur Rahman,2017-04-15 00:08:17,2017-04-14 23:17:11,,O/H Fiber Cut,O/H Fiber Cut,2017-04-15 08:13:25,2017-04-15 01:30:11,Amran.hossen,Wahidul.ahad,F@H End Problem,Samiur Rahman
103,20170402118326,1 Asia Alliance Communication Limited,16597,"Aqua Tower, Mohakhali. BIGL ODF",-Mango Colocity. ODF,"-Aqua Tower, Mohakhali. BIGL ODF",,Down-Link-Link,Samiur Rahman,2017-04-02 17:59:31,2017-04-02 17:56:46,Passive,Faulty,Fiber Adapter Problem - CO,2017-04-03 00:35:35,2017-04-03 00:01:34,Arman.habib,Shad.uddin,F@H End Problem,Shuvo Voumick
104,20170401118066,1 Asia Alliance Communication Limited,16597,"Aqua Tower, Mohakhali. BIGL ODF",-Mango Colocity. ODF,"-Aqua Tower, Mohakhali. BIGL ODF",,Down-Link-Link,,2017-04-01 14:02:23,2017-04-01 13:40:57,,Planned Work,Planned Work (F@H),2017-04-01 21:26:59,2017-04-01 21:00:25,Chhanda,Saikat.roy,F@H End Problem,Shuvo Voumick
105,20170401118013,1 Asia Alliance Communication Limited,16324,"Mango building, Mohakhali.",-1 Asia HQ (Connected),"-Mango building, Mohakhali.",,Down-Link-Link,,2017-04-01 12:02:58,2017-04-01 11:39:36,,Planned Work,Planned Work (F@H),2017-04-01 21:15:04,2017-04-01 20:30:14,Chhanda,Saikat.roy,F@H End Problem,Shuvo Voumick
106,20170331117889,1 Asia Alliance Communication Limited,9207,"BAY ESTWOOD (1ST FLOOR), HOUSE: 66B, ROAD: 27, GULSHAN-1, DHAKA","-ALLIANCE BUILDING, 63/A PRAGATI SARANI, SHAHAJADPUR, BARIDHARA, DHAKA-1212","-BAY ESTWOOD (1ST FLOOR), HOUSE: 66B, ROAD: 27, GULSHAN-1, DHAKA",,Down-Link-Link,A. K. M. Touhidul Haque,2017-03-31 19:04:10,2017-03-31 19:02:52,,Client End Problem,Client End Problem (Others),2017-04-02 08:47:27,2017-04-02 08:53:46,Abdur,Chhanda,Client End Problem,MSSD
107,20170324116646,1 Asia Alliance Communication Limited,10849,"SPL WESTERN TOWER,, 186 TEJGAON C/A, DHAKA","-ALLIANCE BUILDING,63 PRAGATI SHARANI,DHAKA","-SPL WESTERN TOWER,, 186 TEJGAON C/A, DHAKA",,Down-Link-Link,Sumaiya Mousumi,2017-03-24 17:10:47,2017-03-24 16:44:24,,Client End Problem,Client End Problem (Others),2017-03-26 21:54:36,2017-03-26 21:08:54,Arman.habib,Tanwi.biswas,Client End Problem,Mr. Shawon
108,20170317115459,1 Asia Alliance Communication Limited,13809,"105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College","-Alliance Building,63,Pragati Sharani.(Connected)","-105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College",,Down-Link-Link,S.M.Rifatuzzaman,2017-03-17 15:03:12,2017-03-17 15:04:54,,Client End Problem (Fiber Cut),Client End Problem (Fiber Cut),2017-03-18 00:38:10,2017-03-17 17:05:37,Amran.hossen,Wahidul.ahad,Client End Problem,MSSD
109,20170226111570,1 Asia Alliance Communication Limited,13809,"105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College","-Alliance Building,63,Pragati Sharani.(Connected)","-105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College",,Quality Issue-Bandwidth Problem-Bandwidth problem,Md. Selinur Rahman,2017-02-26 11:01:18,2017-02-26 10:52:26,,Client End Problem,Client End Problem (Others),2017-02-27 17:24:23,2017-02-27 17:39:23,Shaiduzzaman,Hasan,Client End Problem,
110,20170220110536,1 Asia Alliance Communication Limited,14728,"Coloasia,Borak Tower",-1Asia HQ,"-Coloasia,Borak Tower",,High Loss-High Loss-Link,Partha Pratim Das,2017-02-20 11:11:02,2017-02-20 11:04:35,Passive,OH,Core Bend - OF,2017-02-22 03:08:38,2017-02-20 16:30:06,Ehtesham,Biswajit.kumar,F@H End Problem,MR Shawon Alam
111,20170214109589,1 Asia Alliance Communication Limited,14728,"Coloasia,Borak Tower",-1Asia HQ,"-Coloasia,Borak Tower",,Down-Link-Link,Partha Pratim Das,2017-02-14 13:23:40,2017-02-14 13:22:51,Passive,Faulty,Patch Cord Cut - CO,2017-02-19 09:23:10,2017-02-14 13:38:22,Samad,T.ahmed,F@H End Problem,MSSD
112,20170209108873,1 Asia Alliance Communication Limited,18412,"1Asia BS, Alliance Building, Shahjadpur.","-House-6, Road-137, Gulshan-1","-1Asia BS, Alliance Building, Shahjadpur.",,Down-Link-Link,Samiur Rahman,2017-02-09 19:52:52,2017-02-09 19:46:18,,Client End Problem,Client End Problem (Others),2017-02-13 22:31:19,2017-02-12 17:45:29,Shaiduzzaman,Sanjoy.kundu,Client End Problem,Mr. Rifat
113,20170206108092,1 Asia Alliance Communication Limited,13225,"Grameen Bank Bhaban,Mirpur-2","-Alliance Building,63,Pragati Sharani.(Connected)","-Grameen Bank Bhaban,Mirpur-2",,Down-Link-Link,Partha Pratim Das,2017-02-06 02:36:08,2017-02-06 02:32:06,,Client End Problem,Client End Problem (Others),2017-02-06 10:25:57,2017-02-06 10:26:25,Khalid,Hasibur,Client End Problem,Kamrul Alam
114,20170204107793,1 Asia Alliance Communication Limited,9916,Chittagong Aktaruzzaman Center Chittagong Agrabad,"-The Alliance Bulding, 63 Progoti Sarani, baridhara",-Chittagong Aktaruzzaman Center Chittagong Agrabad,,Down-Link-Link,S.M.Rifatuzzaman,2017-02-04 11:12:16,2017-02-04 10:57:48,,Client End Problem,Client End Problem (Others),2017-02-04 11:34:14,2017-02-04 11:19:33,Wahidul.ahad,Wahidul.ahad,Client End Problem,Sumaiya
115,20170203107718,1 Asia Alliance Communication Limited,9916,Chittagong Aktaruzzaman Center Chittagong Agrabad,"-The Alliance Bulding, 63 Progoti Sarani, baridhara",-Chittagong Aktaruzzaman Center Chittagong Agrabad,,Down-Link-Link,Network Operation Center (NOC),2017-02-03 14:14:22,2017-02-03 13:01:47,,Client End Problem,Client End Problem (Others),2017-02-04 11:07:45,2017-02-04 11:21:06,Arman.habib,Wahidul.ahad,Client End Problem,Samiur Rahman
116,20170202107640,1 Asia Alliance Communication Limited,18412,"1Asia BS, Alliance Building, Shahjadpur.","-House-6, Road-137, Gulshan-1","-1Asia BS, Alliance Building, Shahjadpur.",,Down-Link-Link,Shawon Alam Network Operation,2017-02-02 19:19:01,2017-02-02 19:00:00,,Client End Problem (Fiber Cut),Client End Problem (Fiber Cut),2017-02-04 11:36:37,2017-02-02 21:14:00,Sanjoy.kundu,Shamim,Client End Problem,MSSD
117,20170126106259,1 Asia Alliance Communication Limited,13809,"105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College","-Alliance Building,63,Pragati Sharani.(Connected)","-105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College",,Down-Link-Link,Samiur Rahman,2017-01-26 01:34:34,2017-01-26 01:31:11,,Client End Problem,Client End Problem (Others),2017-01-26 16:53:11,2017-01-26 16:41:52,Sanjoy.kundu,Rabbee,Client End Problem,MSSD
118,20170125106075,1 Asia Alliance Communication Limited,9916,Chittagong Aktaruzzaman Center Chittagong Agrabad,"-The Alliance Bulding, 63 Progoti Sarani, baridhara",-Chittagong Aktaruzzaman Center Chittagong Agrabad,,Down-Link-Link,Mr.Kamrul,2017-01-25 09:36:48,2017-01-25 09:38:13,,Client End Problem,Client End Problem (Others),2017-01-25 13:19:11,2017-01-25 13:17:18,Tanwi.biswas,Khalid,Client End Problem,Mr Kamrul
119,20170115104086,1 Asia Alliance Communication Limited,9941,"63, Progati Sarani,Baridhara ( 1 Asia Office ), Dhaka","-Mango Building Mohakhali, Dhaka","-63, Progati Sarani,Baridhara ( 1 Asia Office ), Dhaka",,High Loss-High Loss-Link,NOC,2017-01-15 18:44:52,2017-01-15 18:45:24,Passive,Faulty,Patch Cord Faulty - CO,2017-01-21 17:40:33,2017-01-21 17:00:37,Tanwi.biswas,Shaiduzzaman,F@H End Problem,Network Operatio
120,20170115104083,1 Asia Alliance Communication Limited,9941,"63, Progati Sarani,Baridhara ( 1 Asia Office ), Dhaka.","-Mango Building Mohakhali, Dhaka","-63, Progati Sarani,Baridhara ( 1 Asia Office ), Dhaka.",,Down-Link-Link,NOC,2017-01-15 18:38:57,2017-01-15 18:38:45,Client,Wrong Complaint,Wrong Complaint,2017-01-15 18:42:14,2017-01-15 18:58:41,Tanwi.biswas,Tanwi.biswas,Client End Problem,
121,20170111103395,1 Asia Alliance Communication Limited,10849,"SPL WESTERN TOWER,, 186 TEJGAON C/A, DHAKA","-ALLIANCE BUILDING,63 PRAGATI SHARANI,DHAKA","-SPL WESTERN TOWER,, 186 TEJGAON C/A, DHAKA",,High Loss-High Loss-Link,Sumaiya Mousumi,2017-01-11 16:49:19,2017-01-11 16:13:56,,Client End Problem,Client End Problem (Others),2017-01-12 16:33:30,2017-01-12 16:30:32,Arman.habib,Sanjoy.kundu,Client End Problem,"Client concern,"
122,20170111103393,1 Asia Alliance Communication Limited,10849,"SPL WESTERN TOWER,, 186 TEJGAON C/A, DHAKA","-ALLIANCE BUILDING,63 PRAGATI SHARANI,DHAKA","-SPL WESTERN TOWER,, 186 TEJGAON C/A, DHAKA",,Down-Link-Link,Sumaiya Mousumi,2017-01-11 16:36:36,2017-01-11 16:13:43,Client,Wrong Complaint,Wrong Complaint,2017-01-11 16:48:10,2017-01-11 16:51:47,Arman.habib,Arman.habib,Client End Problem,noc
123,20170101101315,1 Asia Alliance Communication Limited,13809,"105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College","-Alliance Building,63,Pragati Sharani.(Connected)","-105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College",,Down-Link-Link,Sumaiya Mousumi,2017-01-01 12:52:13,2017-01-01 12:14:20,,,Client End Problem (Fiber Cut),2017-01-01 22:46:43,2017-01-01 13:29:36,Biswajit.kumar,Sanjoy.kundu,F@H End Problem,A K M Touhidul H
