Fault Type,System Fault Date & Time,Notification Date & Time,Root Cause(L-1),Root Cause(L-2),Root Cause(L-3),RestorationSystem Date,Restoration Date,Outage due to,Time to Acknowledge,Time to Resolve
Down-Link-Link,2017-02-02 19:19:01,2017-02-02 19:00:00,,Client End Problem (Fiber Cut),Client End Problem (Fiber Cut),2017-02-04 11:36:37,2017-02-02 21:14:00,Client End Problem,-19.016666666666666,114.98333333333333
Down-Link-Link,2017-01-26 01:34:34,2017-01-26 01:31:11,,Client End Problem,Client End Problem (Others),2017-01-26 16:53:11,2017-01-26 16:41:52,Client End Problem,-3.3833333333333333,907.3
Down-Link-Link,2017-01-25 09:36:48,2017-01-25 09:38:13,,Client End Problem,Client End Problem (Others),2017-01-25 13:19:11,2017-01-25 13:17:18,Client End Problem,1.4166666666666667,220.5
High Loss-High Loss-Link,2017-01-15 18:44:52,2017-01-15 18:45:24,Passive,Faulty,Patch Cord Faulty - CO,2017-01-21 17:40:33,2017-01-21 17:00:37,F@H End Problem,0.5333333333333333,8535.75
Down-Link-Link,2017-01-15 18:38:57,2017-01-15 18:38:45,Client,Wrong Complaint,Wrong Complaint,2017-01-15 18:42:14,2017-01-15 18:58:41,Client End Problem,-0.2,19.733333333333334
High Loss-High Loss-Link,2017-01-11 16:49:19,2017-01-11 16:13:56,,Client End Problem,Client End Problem (Others),2017-01-12 16:33:30,2017-01-12 16:30:32,Client End Problem,-35.38333333333333,1421.2166666666667
Down-Link-Link,2017-01-11 16:36:36,2017-01-11 16:13:43,Client,Wrong Complaint,Wrong Complaint,2017-01-11 16:48:10,2017-01-11 16:51:47,Client End Problem,-22.883333333333333,15.183333333333334
Down-Link-Link,2017-01-01 12:52:13,2017-01-01 12:14:20,,,Client End Problem (Fiber Cut),2017-01-01 22:46:43,2017-01-01 13:29:36,F@H End Problem,-37.88333333333333,37.38333333333333
Down-Link-Link,2016-12-23 10:21:58,2016-12-23 10:30:06,,Client End Problem,Client End Problem (Others),2016-12-24 15:41:04,2016-12-23 11:00:39,Client End Problem,8.133333333333333,38.68333333333333
Down-Link-Link,2016-12-21 22:06:33,2016-12-21 22:20:43,Passive,OH,Core Bend - OF,2016-12-22 00:13:32,2016-12-22 00:00:12,F@H End Problem,14.166666666666666,113.65
Fluctuation-Link-Link,2016-12-21 15:11:17,2016-12-21 15:13:14,,Client End Problem,Client End Problem (Others),2016-12-21 16:21:15,2016-12-21 16:38:20,Client End Problem,1.95,87.05
Quality Issue-Bandwidth Problem-Bandwidth problem,2016-12-19 22:11:53,2016-12-19 22:27:06,,Client End Problem,Client End Problem (Others),2016-12-21 23:32:25,2016-12-21 23:16:32,Client End Problem,15.216666666666667,2944.65
Down-Link-Link,2016-12-10 19:29:05,2016-12-10 19:26:45,,Client End Problem,Client End Problem (Others),2016-12-12 09:41:54,2016-12-12 09:21:40,Client End Problem,-2.3333333333333335,2272.5833333333335
Down-Link-Link,2016-11-30 10:28:11,2016-11-30 10:41:15,,Client End Problem,Client End Problem (Others),2016-11-30 11:01:18,2016-11-30 11:38:00,Client End Problem,13.066666666666666,69.81666666666666
Down-Link-Link,2016-11-29 15:06:47,2016-11-29 15:19:54,,Core Break,Core Break (LDP/BDB),2016-11-29 22:40:35,2016-11-29 21:43:39,F@H End Problem,13.116666666666667,396.8666666666667
Down-Link-Link,2016-11-26 22:05:38,2016-11-26 22:19:33,,Client End Problem,Client End Problem (Others),2016-11-27 05:48:30,2016-11-27 05:10:48,Client End Problem,13.916666666666666,425.1666666666667
Down-Link-Link,2016-11-26 15:55:20,2016-11-26 15:50:00,,Core Break,Core Break (LDP/BDB),2016-11-26 23:11:21,2016-11-26 23:00:10,F@H End Problem,-5.333333333333333,424.8333333333333
Down-Link-Link,2016-11-23 05:48:27,2016-11-23 06:01:39,,U/G Fiber Cut,U/G Fiber Cut,2016-11-23 14:59:52,2016-11-23 14:25:59,F@H End Problem,13.2,517.5333333333333
